Imo,Speed [kt].,Laden FOC,Ballast FOC
9779226,12.0,49,48.9
9779226,12.5,52.3,52.4
9779226,13,55.7,55.9
9779226,13.5,59.3,59.4
9779226,14,63.2,62.8
9779226,14.5,67.3,67.1
9779226,15,71.4,70.6
9779226,15.5,75.8,75.4
9779226,16,80.9,79.3
9779226,16.5,86.2,84.1
9779226,17,91.9,89.2
9779226,17.5,98.2,94.9
9779226,18,105.3,102.2
9779226,18.5,111.9,108.2
9779226,19,118.4,114.9
9779226,19.5,126.2,122.3
9810020,12.0,49.1,49.1
9810020,12.5,52.5,52.7
9810020,13,55.9,56.1
9810020,13.5,59.5,59.7
9810020,14,63.4,63.1
9810020,14.5,67.6,67.4
9810020,15,71.7,70.9
9810020,15.5,76.2,75.8
9810020,16,81.2,79.7
9810020,16.5,86.6,84.5
9810020,17,92.3,89.6
9810020,17.5,98.7,95.3
9810020,18,105.8,102.7
9810020,18.5,112.5,108.7
9810020,19,118.9,115.4
9810020,19.5,126.8,122.9
9862487,12.0,42.6,43.5
9862487,12.5,45.9,46.8
9862487,13.0,49.4,50.2
9862487,13.5,53.2,53.9
9862487,14.0,57.2,57.8
9862487,14.5,61.5,62.0
9862487,15.0,66.0,66.4
9862487,15.5,70.7,70.9
9862487,16.0,75.0,75.0
9862487,16.5,80.1,79.9
9862487,17.0,85.5,85.0
9862487,17.5,90.5,89.8
9862487,18.0,96.6,95.7
9862487,18.5,103.0,102.1
9862487,19.0,110.0,109.1
9862487,19.5,117.2,116.2
9874466,12.0,42.6,43.5
9874466,12.5,45.9,46.8
9874466,13.0,49.4,50.2
9874466,13.5,53.2,53.9
9874466,14.0,57.2,57.8
9874466,14.5,61.5,62.0
9874466,15.0,66.0,66.4
9874466,15.5,70.7,70.9
9874466,16.0,75.0,75.0
9874466,16.5,80.1,79.9
9874466,17.0,85.5,85.0
9874466,17.5,90.5,89.8
9874466,18.0,96.6,95.7
9874466,18.5,103.0,102.1
9874466,19.0,110.0,109.1
9874466,19.5,117.2,116.2
9874454,12.0,42.6,43.5
9874454,12.5,45.9,46.8
9874454,13.0,49.4,50.2
9874454,13.5,53.2,53.9
9874454,14.0,57.2,57.8
9874454,14.5,61.5,62.0
9874454,15.0,66.0,66.4
9874454,15.5,70.7,70.9
9874454,16.0,75.0,75.0
9874454,16.5,80.1,79.9
9874454,17.0,85.5,85.0
9874454,17.5,90.5,89.8
9874454,18.0,96.6,95.7
9874454,18.5,103.0,102.1
9874454,19.0,110.0,109.1
9874454,19.5,117.2,116.2
